onset,duration,trial_type
0.023189783,3.000006437,anticipation_high_cognition
3.02319622,24.00001645,pain_high_cogn_high_pain
27.02321267,4.533311367,rating
63.03157973,3.000004768,anticipation_high_cognition
66.0315845,24.00002122,pain_high_cogn_high_pain
90.03160572,4.033244371,rating
120.0316372,2.999999762,anticipation_low_cognition
123.031637,24.00002289,pain_low_cogn_low_pain
147.0316598,4.49184823,rating
177.0316923,3.000002861,anticipation_high_cognition
180.0316951,24.00002217,pain_high_cogn_high_pain
204.0317173,5.833322763,rating
237.0317519,2.999997377,anticipation_low_cognition
240.0317492,24.00002337,pain_low_cogn_high_pain
264.0317726,3.316745281,rating
294.0318022,3.000003338,anticipation_high_cognition
297.0318055,24.00002193,pain_high_cogn_low_pain
321.0318274,7.641726494,rating
360.0318642,3.000002861,anticipation_low_cognition
363.031867,24.00002313,pain_low_cogn_low_pain
387.0318902,4.333276749,rating
420.0319259,2.999999046,anticipation_high_cognition
423.031925,24.00002217,pain_high_cogn_high_pain
447.0319471,3.733274937,rating
480.0319793,3.000001669,anticipation_low_cognition
483.031981,24.0000267,pain_low_cogn_high_pain
507.0320077,4.875305414,rating
546.0320423,3.000001431,anticipation_high_cognition
549.0320437,24.00002933,pain_high_cogn_low_pain
573.032073,4.71665287,rating
609.0321064,3.000002861,anticipation_low_cognition
612.0321093,24.00001907,pain_low_cogn_low_pain
636.0321283,5.908675671,rating
672.0321624,3.000006437,anticipation_low_cognition
675.0321689,24.00002337,pain_low_cogn_high_pain
699.0321922,5.225141764,rating
738.0322247,3.000003338,anticipation_low_cognition
741.032228,24.00002313,pain_low_cogn_high_pain
765.0322511,4.116830826,rating
795.03228,3.000003099,anticipation_high_cognition
798.0322831,24.00002551,pain_high_cogn_low_pain
822.0323086,2.550140381,rating
855.0323391,3.000000715,anticipation_high_cognition
858.0323398,24.00002337,pain_high_cogn_low_pain
882.0323632,5.933324814,rating
915.0323961,3.000004292,anticipation_high_cognition
918.0324004,24.00002074,pain_high_cogn_high_pain
942.0324211,4.100085974,rating
972.0324516,3.000000954,anticipation_low_cognition
975.0324526,24.00002408,pain_low_cogn_low_pain
999.0324767,2.883629322,rating
1038.032518,3.000001907,anticipation_low_cognition
1041.03252,24.0000186,pain_low_cogn_high_pain
1065.032538,3.858484507,rating
1101.032574,3.000002384,anticipation_high_cognition
1104.032577,24.00002456,pain_high_cogn_low_pain
1128.032601,3.241569757,rating
1164.032637,2.999999762,anticipation_low_cognition
1167.032637,24.00002193,pain_low_cogn_low_pain
1191.032659,7.050327301,rating
